"NUTS_code","NUTS_year","edge","field","low","rich","edge_mha","agriculture","fallow_per"
"D127","D127_2007",2,3,160,8,36.1219468442723,176.648890475044,3.40796165759971
"D127","D127_2007",16,14,99,13,51.5956696432484,115.900661826345,13.3066992604441
"D127","D127_2007",15,1,101,11,51.5956696432484,115.900661826345,5.50415190418054
"D127","D127_2007",17,0,134,10,51.5956696432484,115.900661826345,3.40796165759971
"D127","D127_2007",38,18,183,10,40.5662656155197,238.034168605408,13.3066992604441
"D127","D127_2007",53,16,136,9,40.5662656155197,238.034168605408,5.50415190418054
"D127","D127_2007",102,21,131,11,40.5662656155197,238.034168605408,3.40796165759971
"D130","D130_2007",49,11,29,11,43.6832594477806,228.3594992501,11.3631246500234
"D130","D130_2007",65,13,64,13,43.6832594477806,228.3594992501,5.55464598645967
"D130","D130_2007",74,9,63,12,43.6832594477806,228.3594992501,3.37615039420431
"D130","D130_2007",37,26,57,12,36.7803435779465,194.30566096825,11.3631246500234
"D130","D130_2007",57,21,46,10,36.7803435779465,194.30566096825,5.55464598645967
"D130","D130_2007",59,30,68,13,36.7803435779465,194.30566096825,3.37615039420431
"D127","D127_2007",34,61,34,11,27.8473325081965,308.33260109859,13.3066992604441
"D127","D127_2007",106,58,66,13,27.8473325081965,308.33260109859,5.50415190418054
"D127","D127_2007",98,46,36,10,27.8473325081965,308.33260109859,3.40796165759971
"D130","D130_2007",0,1,37,7,45.5983621208455,82.7088441975634,11.3631246500234
"D130","D130_2007",0,1,27,7,45.5983621208455,82.7088441975634,5.55464598645967
"D130","D130_2007",0,0,37,7,45.5983621208455,82.7088441975634,3.37615039420431
"D131","D131_2007",34,40,37,8,25.1282943968762,304.359977072077,1.55172037126206
"D131","D131_2007",15,32,29,7,25.1282943968762,304.359977072077,2.82306508829378
"D130","D130_2007",9,20,13,6,79.4029978181137,210.597291514275,11.3631246500234
"D130","D130_2007",24,24,31,8,79.4029978181137,210.597291514275,5.55464598645967
"D130","D130_2007",28,15,19,7,79.4029978181137,210.597291514275,3.37615039420431
"D127","D127_2007",2,18,28,6,21.6305340690018,125.177325959188,13.3066992604441
"D127","D127_2007",2,17,56,6,21.6305340690018,125.177325959188,5.50415190418054
"D127","D127_2007",0,10,42,4,21.6305340690018,125.177325959188,3.40796165759971
"D130","D130_2007",20,49,21,10,39.7307833027293,265.901017139284,11.3631246500234
"D130","D130_2007",19,46,27,9,39.7307833027293,265.901017139284,5.55464598645967
"D130","D130_2007",11,24,18,7,39.7307833027293,265.901017139284,3.37615039420431
"D119","D119_2007",2,0,50,5,10.9223623076746,32.3623367401794,4.39733963095265
"D119","D119_2007",0,0,70,5,10.9223623076746,32.3623367401794,3.18648364456162
"D131","D131_2007",5,21,8,5,33.2964707401997,303.998794068636,1.55172037126206
"D131","D131_2007",25,6,16,7,33.2964707401997,303.998794068636,2.82306508829378
"D119","D119_2007",19,29,77,13,16.2291875320426,143.118713322366,9.63438207086149
"D119","D119_2007",13,15,69,10,16.2291875320426,143.118713322366,4.39733963095265
"D119","D119_2007",30,20,43,11,16.2291875320426,143.118713322366,3.18648364456162
"D130","D130_2007",11,0,80,6,50.0193182017417,107.329656773772,11.3631246500234
"D130","D130_2007",11,0,66,6,50.0193182017417,107.329656773772,5.55464598645967
"D130","D130_2007",11,0,67,6,50.0193182017417,107.329656773772,3.37615039420431
"D119","D119_2007",11,2,82,6,9.13286859166264,35.8710792827654,9.63438207086149
"D119","D119_2007",11,9,67,7,9.13286859166264,35.8710792827654,4.39733963095265
"D119","D119_2007",6,3,85,7,9.13286859166264,35.8710792827654,3.18648364456162
"D130","D130_2007",13,10,36,9,44.8996342191812,182.031336529783,11.3631246500234
"D130","D130_2007",21,0,21,4,44.8996342191812,182.031336529783,5.55464598645967
"D130","D130_2007",23,5,22,7,44.8996342191812,182.031336529783,3.37615039420431
"D130","D130_2007",27,0,25,6,53.3763630065389,130.396245319425,11.3631246500234
"D130","D130_2007",23,0,15,4,53.3763630065389,130.396245319425,5.55464598645967
"D130","D130_2007",20,0,11,3,53.3763630065389,130.396245319425,3.37615039420431
"D119","D119_2007",2,0,62,7,46.3916507104497,110.506123725908,4.39733963095265
"D119","D119_2007",6,0,28,4,46.3916507104497,110.506123725908,3.18648364456162
"D119","D119_2007",17,14,60,9,61.1025454116277,169.409943102754,9.63438207086149
"D119","D119_2007",17,44,70,13,61.1025454116277,169.409943102754,4.39733963095265
"D119","D119_2007",20,12,46,10,61.1025454116277,169.409943102754,3.18648364456162
"D130","D130_2007",19,15,42,8,39.043707197178,266.792287512834,11.3631246500234
"D130","D130_2007",43,16,38,11,39.043707197178,266.792287512834,5.55464598645967
"D130","D130_2007",39,18,59,11,39.043707197178,266.792287512834,3.37615039420431
"D125","D125_2007",97,14,9,7,26.0555278658906,291.315397566568,10.1157485786508
"D125","D125_2007",52,11,12,7,26.0555278658906,291.315397566568,5.48331308925249
"D125","D125_2007",31,7,96,13,30.0060902081998,129.438022174068,10.1157485786508
"D125","D125_2007",14,3,52,8,30.0060902081998,129.438022174068,5.48331308925249
"D125","D125_2007",37,5,75,13,30.0060902081998,129.438022174068,3.47461665336085
"D125","D125_2007",50,25,26,11,52.383696541129,215.776687631135,10.1157485786508
"D125","D125_2007",39,24,25,11,52.383696541129,215.776687631135,5.48331308925249
"D125","D125_2007",81,10,141,16,67.448063568365,136.253182467035,10.1157485786508
"D125","D125_2007",40,8,112,14,67.448063568365,136.253182467035,5.48331308925249
